legend_id,section_id,pe_group,course_code,course_name,room_no,faculty_name,category,activity_name,activity_faculty
1,1,,22PC1AE401,Advanced Driver Assistance System (ADAS),D-421,Mr. M Venkata Ramarao,,,
2,1,,22PC1AE402,Automotive Embedded Systems (AES),D-421,Mr. M. Vijay,,,
3,1,PE-III,22PE1AE402,Two and Three-Wheeler Technology,D-402,Dr. B. Harish babu,,,
4,1,PE-III,22PE1AE403,Advanced Manufacturing Technologies,D-421,Dr. M. Venkata Ramana,,,
5,1,PE-IV,22PEN1GE402,Solar Energy Engineering and Technology,D-421,Dr. T. Srinivasa Rao,,,
6,1,PE-IV,22PEN1ME404,Automation in Manufacturing,D-402,Dr. M. Venkata Ramana,,,
7,1,PE-IV,22PEN1CS415,Introduction to Internet of Things,D-405,Dr. G. V. L. Prasad,,,
8,1,PE-IV,22PEN1GE401,Fundamentals of Artificial Intelligence,D-403,Mr. M. Vijay,,,
9,1,PE-IV,22PEN1AE401,Elements of Mechanical Vibration,D-416,Dr. Ch. Sri Chaitanya,,,
10,1,,22PC2AE402,Automotive Embedded Systems Laboratory (AES Lab),D-403,Mr. M. Vijay / Mr. Balappa Hadagali,,,
11,1,,22PC2AE411,Vehicle Maintenance and Testing Laboratory (VMT Lab),P-004 / P-005 / P-006,Mr. M. Venkata Ramarao / Mr. Chandrashekar B Banad,,,
12,1,,22PW4AE401,Major Project Phase - I,D-415,"Dr. T. Srinivasa Rao, Dr. Shaik Amjad, Dr. M. Venkata Ramana, Dr. D. Suresh, Mr. Vinay Kulkarni, Dr. B. Harish Babu, Dr. S. Aslam Ansari",,,
13,1,,,,,,Seminar,Seminar,-
14,1,,,,,,Library,Library,-
15,1,,,,,,ECA,Extra-Curricular Activity,-
16,1,,,,,,CCA,Co-Curricular Activity,-
17,1,,,,,,MTP,Mentoring Training & Placement,Mr. R. Ramu / Mr. M. Krishna / Mr. Balappa Hadagali
18,1,,,,,,Sports,Sports,
19,2,,22PC1CE401,Foundation Engineering,D-104/1,Dr.K.Suresh,,,
20,2,,22PC1CE402,Innovation and Entrepreneurship (I&E),D-104/1,Dr.M.V.Narasimha Rao,,,
21,2,PE-III,22PE1CE405,Construction Technology and Project Management (PE III CTPM),D-104/1,Dr. J. Y.V. Shiva Bhushan,,,
22,2,PE-IV,,PE-IV (NPTEL),D-104/1,Mr. P. V. S. Gopi Raghunadh /Dr. PZ Seenu,,,
23,2,,,Open Elective – III (OE -III),-,,,,
24,2,,22PC2CE411,Computer Aided Design Studio (CADS),D - 215,Dr.B.Murali Krishna/Dr.K.Pardhasaradhi / Dr.K.Ravi Kumar/Dr.T.Srinivas Rao,,,
25,2,,22PC2CE306,Environmental Engineering Laboratory (EE Lab),D -  010,Mr. P. V. S. Gopi Raghunadh/ Mrs.V.Ramya Krishna,,,
26,2,,22PW4CE401,Major Project Phase – I (Project - I),-,Major Project Supervisors,,,
27,2,,,,,,Library,Library,
28,2,,,,,,Sports,Sports,
29,2,,,,,,Mentoring,,
30,2,,,,,,CORE TRAININGS,,
31,3,,22PC1CE401,Foundation Engineering,D-104/1,Dr.K.Suresh,,,
32,3,,22PC1CE402,Innovation and Entrepreneurship (I&E),D-104/1,Dr.M.V.Narasimha Rao,,,
33,3,PE-III,22PE1CE405,Construction Technology and Project Management (PE III CTPM),D-104/1,Dr. J. Y.V. Shiva Bhushan,,,
34,3,PE-IV,,PE-IV (NPTEL),D-104/1,Mrs. J. Soujanya /Dr. PZ Seenu,,,
35,3,,,Open Elective – III (OE -III),,,,,
36,3,,22PC2CE411,Computer Aided Design Studio (CADS),D-215,Dr.K.Ravi Kumar/Mr.K.Veerendra Gopi / Dr.K.Pardhasaradhi /Dr.B.Murali Krishna,,,
37,3,,22PC2CE306,Environmental Engineering Laboratory (EE Lab),D -010,Mrs. J. Soujanya / Dr. Sangeetha S.,,,
38,3,,22PW4CE401,Major Project Phase – I (Project - I),-,Major Project Supervisors,,,
39,3,,,,,,Library,Library,
40,3,,,,,,Sports,Sports,
41,3,,,,,,Mentoring,,
42,3,,,,,,CORE TRAININGS,,
43,4,,22PC1CS401,Big Data Analytics (BDA),E012,Mrs. N. Lakshmi Kalyani,,,
44,4,,22PC1AM402,DevOps (DevOps),E012,Dr. V. Srikanth Reddy,,,
45,4,PE-III,22PE1CY301,Information and Network Security (INS)(PE-III),E012,Mr. T. Gnana Prakash,,,
46,4,PE-III,22PE1CS402,Deep Learning (DL) (PE-III),E113,Ms.  Sana,,,
47,4,PE-IV,,PE-IV Swayam NPTEL,,Dr. P. Anjusha,,,
48,4,,22PC2CS401,Big Data Analytics Laboratory (BDA Lab),E333,Mrs. N. Lakshmi Kalyani / Ms. Sana,,,
49,4,,22PC2AM402,DevOps Laboratory (DevOps Lab),E333,Dr. V. Srikanth Reddy / Mrs. S. Sudeshna,,,
50,4,,22PW4CS401,Major Project Phase – I,,Dr. B.V. Kiranmayee/ Dr. D.N. Vasundhara/ Mrs. S. Sudeshna,,,
51,4,,,,,,ECA,EXTRA CURRICULAR ACTIVITY,
52,4,,,,,,CCA,CO CURRICULAR ACTIVITY,
53,4,,,,,,SPORTS,SPORTS,
54,4,,,,,,LIBRARY,LIBRARY,
55,5,,22PC1CS401,Big Data Analytics (BDA),E113,Mrs. N. Lakshmi Kalyani,,,
56,5,,22PC1AM402,DevOps (DevOps),E113,Dr. V. Srikanth Reddy,,,
57,5,PE-III,22PE1CY301,Information and Network Security (INS)(PE-III),E012,Mr. T. Gnana Prakash,,,
58,5,PE-III,22PE1CS402,Deep Learning (DL) (PE-III),E113,Ms.  Sana,,,
59,5,PE-IV,,PE-IV Swayam NPTEL,,Mr. Ch. Suresh Kumar Raju,,,
60,5,,22PC2CS401,Big Data Analytics Laboratory (BDA Lab),E333,Mrs. N. Lakshmi Kalyani / Ms. Sana,,,
61,5,,22PC2AM402,DevOps Laboratory (DevOps Lab),E333,Dr. V. Srikanth Reddy / Mrs. S. Sudeshna,,,
62,5,,22PW4CS401,Major Project Phase – I,,Dr. V. Baby /Dr. P. Anjusha/  Mr. N. Praveen,,,
63,5,,,,,,ECA,EXTRA CURRICULAR ACTIVITY,
64,5,,,,,,CCA,CO CURRICULAR ACTIVITY,
65,5,,,,,,SPORTS,SPORTS,
66,5,,,,,,LIBRARY,LIBRARY,
67,6,,22PC1CS401,Big Data Analytics (BDA),A013,Dr. M. Ravi Kanth,,,
68,6,,22PC1AM402,DevOps (DevOps),A013,Mr. K. Pratap Joshi,,,
69,6,PE-III,22PE1CY301,Information and Network Security (INS)(PE-III),E012,Mr. T. Gnana Prakash,,,
70,6,PE-III,22PE1CS402,Deep Learning (DL) (PE-III),E113,Ms.  Sana,,,
71,6,PE-IV,,PE-IV Swayam NPTEL,,Mrs. S. Sravanthi,,,
72,6,,22PC2CS401,Big Data Analytics Laboratory (BDA Lab),E117,Dr. M. Ravi Kanth / Dr. N. Sandeep Chaitanya,,,
73,6,,22PC2AM402,DevOps Laboratory (DevOps Lab),E117,Mr. K. Pratap Joshi / P. Rama Krishna,,,
74,6,,22PW4CS401,Major Project Phase – I,,Dr. M. Madhu Bala/Dr. P. V. Siva Kumar Mrs. K. Swathi,,,
75,6,,,,,,ECA,EXTRA CURRICULAR ACTIVITY,
76,6,,,,,,CCA,CO CURRICULAR ACTIVITY,
77,6,,,,,,SPORTS,SPORTS,
78,6,,,,,,LIBRARY,LIBRARY,
79,7,,22PC1CS401,Big Data Analytics (BDA),E037,Dr. M. Ravi Kanth,,,
80,7,,22PC1AM402,DevOps (DevOps),E037,Mr. K. Pratap Joshi,,,
81,7,PE-III,22PE1CY301,Information and Network Security (INS)(PE-III),E012,Mr. T. Gnana Prakash,,,
82,7,PE-III,22PE1CS402,Deep Learning (DL) (PE-III),E113,Ms.  Sana,,,
83,7,PE-IV,,PE-IV Swayam NPTEL,,Mrs. K. Jyothsna Latha,,,
84,7,,22PC2CS401,Big Data Analytics Laboratory (BDA Lab),E117,Dr. M. Ravi Kanth / Dr. N. Sandeep Chaitanya,,,
85,7,,22PC2AM402,DevOps Laboratory (DevOps Lab),E117,Mr. K. Pratap Joshi / P. Rama Krishna,,,
86,7,,22PW4CS401,Major Project Phase – I,,Dr. N. V. Sailaja / Mrs. N. Lakshmi Kalyani / Mrs. K. Jyothsna Latha,,,
87,7,,,,,,ECA,EXTRA CURRICULAR ACTIVITY,
88,7,,,,,,CCA,CO CURRICULAR ACTIVITY,
89,7,,,,,,SPORTS,SPORTS,
90,7,,,,,,LIBRARY,LIBRARY,
91,8,,22PC1CB401,Usability Design of Software Applications (UDSA),E038,Mrs. K. Bhagya Rekha,,,
92,8,,22HS1MG401,Financial Management(FM),E038,Dr. K. Anil Kumar,,,
93,8,PE-III,22PE1CB401,Cognitive Science and Analytics(CSA) (PE-III),E038,Mr. K. Akhil,,,
94,8,PE-IV,22PE1CB406,Information retrieval systems(IRS) (PE-IV),E038,Mr. T. Gnana Prakash,,,
95,8,O.E-I,220E1CB401,Human Resource Management (HRM) (O.E-I),E038,Mr. K. V. L. N. Pavan Kumar,,,
96,8,,22PC2CB401,Usability Design of Software Applications LAB,E333,Mrs. K. Bhagya Rekha / Dr. P. Bharath Kumar,,,
97,8,,22PCAM402,Devops LAB,E333,Mr. B. Satyadev / Mrs. J. Pushpa Kumari,,,
98,8,,22PW4CB401,Major Projects Phase-I,,Dr. S. Nagini/ Mr. K. Akhil,,,
99,8,,,,,,ECA,EXTRA CURRICULAR ACTIVITY,
100,8,,,,,,CCA,CO CURRICULAR ACTIVITY,
101,8,,,,,,LIBRARY,LIBRARY,
102,8,,,,,,SPORTS,SPORTS,
103,8,,,,,,Mentoring,,
104,9,,22PC1DS402,Deep Learning applications (DLA),D-518,Mrs. E. Lalitha,,,
105,9,,22PC1DS401,Data Science for BFSI (BFSI),D-518,Dr. M. Rajasekar,,,
106,9,,22PE1DS401,Natural Language Processing and Text Analytics (NLP&TA),D-518,Mrs.G.Vanaja Kumari,,,
107,9,PE-IV,,Professional Elective-IV,D-518,Mr.P.Venkateswara Rao,,,
108,9,,22PC2DS402,Deep Learning applications (DLA) Lab,E-502,Mrs. E. Lalitha / Mr.B.Sangameshwar (Batch-1)/ Dr.K.Srinivas(Batch-2),,,
109,9,,22PC2DS401,Data Science for BFSI (BFSI) lab,E-332,Dr. M. Rajasekar/ Ms.Dhanshree Mukund Pande,,,
110,9,,22PW4DS401,Major Project Phase - I,D-518,Dr.V.Radhika/ Dr.Ch.Anil Kumar,,,
111,9,,,,,,Seminar,Seminar,
112,9,,,,,,Library,Library,
113,9,,,,,,CCA,Co-Curricular Activity,
114,9,,,,,,Sports/ECA,Sports/ Extra Curricular Activity,
115,9,,,,,,CVA-L4,Career Vision Approach – Level 4,
116,9,,,,,,MTP,Mentoring Training & Placement,
117,10,,22PC1DS402,Deep Learning applications (DLA),D-304/2,Mrs.G.Sravanthi,,,
118,10,,22PC1DS401,Data Science for BFSI (BFSI),D-304/2,Mrs.P.Lalitha,,,
119,10,,22PE1DS401,Natural Language Processing and Text Analytics (NLP&TA),D-304/2,Dr. T. Sunil Kumar,,,
120,10,PE-IV,,Professional Elective-IV,D-304/2,Dr.M.Laxmi Devi,,,
121,10,,22PC2DS402,Deep Learning applications (DLA) Lab,E-501,Mrs.G.Sravanthi / Mrs.D. Naga Vardhini,,,
122,10,,22PC2DS401,Data Science for BFSI (BFSI) lab,E-431(W) / E-417(S),Mrs.P.Lalitha/ Mrs.P. Meenakshi,,,
123,10,,22PW4DS401,Major Project Phase - I,D-304/2,Dr.R.Vasavi /Dr.M.Laxmi Devi,,,
124,10,,,,,,Seminar,Seminar,
125,10,,,,,,Library,Library,
126,10,,,,,,CCA,Co-Curricular Activity,
127,10,,,,,,Sports/ECA,Sports/ Extra Curricular Activity,
128,10,,,,,,CVA-L4,Career Vision Approach – Level 4,
129,10,,,,,,MTP,Mentoring Training & Placement,
130,11,,22PC1DS402,Deep Learning applications (DLA),E-406,Dr.R.Vasavi,,,
131,11,,22PC1DS401,Data Science for BFSI (BFSI),E-406,Mrs.V.Susmitha,,,
132,11,,22PE1DS401,Natural Language Processing and Text Analytics (NLP&TA),E-406,Mrs.P. Swathi,,,
133,11,PE-IV,,Professional Elective-IV,E-406,Mrs. K. Naga Sandhya,,,
134,11,,22PC2DS402,Deep Learning applications (DLA) Lab,E-502,Dr.R.Vasavi/ Mrs.A.Jaya Bhargavi,,,
135,11,,22PC2DS401,Data Science for BFSI (BFSI) lab,E-501,Mrs.V.Susmitha/Mrs.P.Meenakshi,,,
136,11,,22PW4DS401,Major Project Phase - I,E-406,Dr.G.Spoorthy /Dr.K. Srinivas,,,
137,11,,,,,,Seminar,Seminar,
138,11,,,,,,Library,Library,
139,11,,,,,,CCA,Co-Curricular Activity,
140,11,,,,,,Sports/ECA,Sports/ Extra Curricular Activity,
141,11,,,,,,CVA-L4,Career Vision Approach – Level 4,
142,11,,,,,,MTP,Mentoring Training & Placement,
143,12,,22PC1CY401,Block Chain Technologies (BCT),E-313,Dr. R. Kranthi Kumar,,,
144,12,,22PC1CY402,Security Operations Centre(SOC),E-313,Dr. P. Subhash,,,
145,12,,22PE1CY401,Cyber Threat Intelligence (CTI),E-313,Ms.K. Sai Pragnya,,,
146,12,PE-IV,,Professional Elective-IV,E-313,Mrs.T.Sowjanya,,,
147,12,,22PC2CY401,Block Chain Technologies (BCT) Lab,E-332(Wed) / E-316(Fri),Dr. R. Kranthi Kumar / Ms. K.Sai Pragna,,,
148,12,,22PC2CY402,Security Operations Centre(SOC) LAb,E-502(Wed) / E-315(Fri),Dr. P. Subhash / Mr.N.Sudheer,,,
149,12,,22PW4CY401,Major Project Phase - I,E-313,Dr.R. Kranthi Kumar /Dr.S.Krishna Priya,,,
150,12,,,,,,Seminar,Seminar,
151,12,,,,,,Library,Library,
152,12,,,,,,CCA,Co-Curricular Activity,
153,12,,,,,,Sports/ECA,Sports/ Extra Curricular Activity,
154,12,,,,,,CVA-L4,Career Vision Approach – Level 4,
155,12,,,,,,MTP,Mentoring Training & Placement,
156,13,,22PC1DS402,Deep Learning applications (DLA),E-526,Dr.Putti Jyothi,,,
157,13,,22PC1DS401,Data Science for BFSI (BFSI),E-526,Mrs.G.Shravani,,,
158,13,,22PE1DS401,Natural Language Processing and Text Analytics (NLP&TA),E-526,Dr.Chevella Anil Kumar,,,
159,13,PE-IV,,Professional Elective-IV,E-526,Mr. A. Madhu,,,
160,13,,22PC2DS402,Deep Learning applications (DLA) Lab,E-402(Mon) / E-415(Thurs),Dr.Putti Jyothi/Dr.K.Srinivas(Batch-1)/ Dr.S.Krishna Priya(Batch-2),,,
161,13,,22PC2DS401,Data Science for BFSI (BFSI) lab,E-417(Mon) / E-416(Thurs),Mrs.G.Shravani/ Mr.B.Sangameshwar,,,
162,13,,22PW4DS401,Major Project Phase - I,E-526,Dr. N. Pushpa latha / Dr.V.Surya Narayana Reddy,,,
163,13,,,,,,Seminar,Seminar,
164,13,,,,,,Library,Library,
165,13,,,,,,CCA,Co-Curricular Activity,
166,13,,,,,,Sports/ECA,Sports/ Extra Curricular Activity,
167,13,,,,,,CVA-L4,Career Vision Approach – Level 4,
168,13,,,,,,MTP,Mentoring Training & Placement,
169,14,,22MC1DS401,Data with Wrangling and Visualization Strategies,E-437,Dr.G.Spoorthy,,,
170,14,,22MC2DS401,Data with Wrangling and Visualization Strategies Laboratory,E-431,Dr.G.Spoorthy,,,
171,15,,22PC1MG402,Engineering Economics and Accountancy (EEA),D-508,Dr. B. Prathyusha,,,
172,15,,22PC1EC401,Microwave Engineering (MWE),D-508,Mrs. M. Bhagya Lakshmi,,,
173,15,PE-III,22PE1EC403,Languages for Embedded Software (LES),D-508 / D-404/1,Dr. N. Dhanalakshmi / Dr. Sahitya,,,
174,15,PE-III,22PE1EC401,Cellular and Mobile Communications (CMC),D-404/2,Mrs. K.Deepthi,,,
175,15,PE-III,22PE1EC404,VLSI Scripting Languages (SL VLSI),C-203,Mrs. S.Naga Leela,,,
176,15,PE-4,,Microsensors and Nanosensors,P-102/2,Dr. B. Shabharinadh,,,
177,15,PE-4,,VLSI Design Flow: RTL to GDS,A-206,Dr. A. Ramesh Kumar,,,
178,15,PE-4,,Simulation of Communication Systems using MATLAB,A-207,Mrs K. Deepthi,,,
179,15,PE-4,,Fiber Optic Communication Technology,A-209,Dr. D. Kanthi Sudha,,,
180,15,PE-4,,Introduction to Industry 4.0 and Industrial Internet of Things,C-207,Dr. N. Dhanalakshmi,,,
181,15,,22PC2EC401,Microwave Engineering Laboratory (MWE LAB),C-207,"M. Bhagya Lakshmi/Mrs. N. Syamala, Sk. Khadar Sharif",,,
