grid_id,section_id,day_of_week,period_no,start_time,end_time,entry_text
1,1,Monday,1,10.00 AM,11.00 AM,ADAS
2,1,Monday,2,11.00 AM,12.00 PM,AES
3,1,Monday,3,12.00 PM,01.00 PM,PE-III
4,1,Monday,BREAK,01.00 PM,01.40 PM,LUNCH
5,1,Monday,4,01.40 PM,02.40 PM,AES Lab / VMT Lab
6,1,Monday,5,02.40 PM,03.40 PM,AES Lab / VMT Lab
7,1,Monday,6,03.40 PM,04.40 PM,AES Lab / VMT Lab
8,1,Tuesday,1,10.00 AM,11.00 AM,OE-III
9,1,Tuesday,2,11.00 AM,12.00 PM,PE-IV
10,1,Tuesday,3,12.00 PM,01.00 PM,PE-IV
11,1,Tuesday,BREAK,01.00 PM,01.40 PM,LUNCH
12,1,Tuesday,4,01.40 PM,02.40 PM,PE-IV
13,1,Tuesday,5,02.40 PM,03.40 PM,MTP
14,1,Tuesday,6,03.40 PM,04.40 PM,Library
15,1,Wednesday,1,10.00 AM,11.00 AM,PE-III
16,1,Wednesday,2,11.00 AM,12.00 PM,ADAS
17,1,Wednesday,3,12.00 PM,01.00 PM,AES
18,1,Wednesday,BREAK,01.00 PM,01.40 PM,LUNCH
19,1,Wednesday,4,01.40 PM,02.40 PM,VMT Lab / AES Lab
20,1,Wednesday,5,02.40 PM,03.40 PM,VMT Lab / AES Lab
21,1,Wednesday,6,03.40 PM,04.40 PM,VMT Lab / AES Lab
22,1,Thursday,1,10.00 AM,11.00 AM,AES
23,1,Thursday,2,11.00 AM,12.00 PM,PE-III
24,1,Thursday,3,12.00 PM,01.00 PM,ADAS
25,1,Thursday,BREAK,01.00 PM,01.40 PM,LUNCH
26,1,Thursday,4,01.40 PM,02.40 PM,OE-III
27,1,Thursday,5,02.40 PM,03.40 PM,OE-III
28,1,Thursday,6,03.40 PM,04.40 PM,Library
29,1,Friday,1,10.00 AM,11.00 AM,Major Project Phase - I
30,1,Friday,2,11.00 AM,12.00 PM,Major Project Phase - I
31,1,Friday,3,12.00 PM,01.00 PM,Major Project Phase - I
32,1,Friday,BREAK,01.00 PM,01.40 PM,LUNCH
33,1,Friday,4,01.40 PM,02.40 PM,Major Project Phase - I
34,1,Friday,5,02.40 PM,03.40 PM,Major Project Phase - I
35,1,Friday,6,03.40 PM,04.40 PM,Major Project Phase - I
36,1,Saturday,1,10.00 AM,11.00 AM,Major Project Phase - I
37,1,Saturday,2,11.00 AM,12.00 PM,Major Project Phase - I
38,1,Saturday,3,12.00 PM,01.00 PM,Major Project Phase - I
39,1,Saturday,BREAK,01.00 PM,01.40 PM,LUNCH
40,1,Saturday,4,01.40 PM,02.40 PM,ECA
41,1,Saturday,5,02.40 PM,03.40 PM,CCA
42,1,Saturday,6,03.40 PM,04.40 PM,Sports
43,2,Monday,1,10.00 AM,11.00 AM,PE-IV
44,2,Monday,2,11.00 AM,12.00 PM,I&E
45,2,Monday,3,12.00 PM,01.00 PM,CTPM
46,2,Monday,BREAK,01.00 PM,01.40 PM,LUNCH
47,2,Monday,4,01.40 PM,02.40 PM,FE
48,2,Monday,5,02.40 PM,03.40 PM,Project-1
49,2,Monday,6,03.40 PM,04.40 PM,Project-1
50,2,Tuesday,1,10.00 AM,11.00 AM,OE-III
51,2,Tuesday,2,11.00 AM,12.00 PM,OE-III
52,2,Tuesday,3,12.00 PM,01.00 PM,PE-IV
53,2,Tuesday,BREAK,01.00 PM,01.40 PM,LUNCH
54,2,Tuesday,4,01.40 PM,02.40 PM,Project-1
55,2,Tuesday,5,02.40 PM,03.40 PM,Project-1
56,2,Tuesday,6,03.40 PM,04.40 PM,Project-1
57,2,Wednesday,1,10.00 AM,11.00 AM,I&E
58,2,Wednesday,2,11.00 AM,12.00 PM,FE
59,2,Wednesday,3,12.00 PM,01.00 PM,CTPM
60,2,Wednesday,BREAK,01.00 PM,01.40 PM,LUNCH
61,2,Wednesday,4,01.40 PM,02.40 PM,Project-1
62,2,Wednesday,5,02.40 PM,03.40 PM,Project-1
63,2,Wednesday,6,03.40 PM,04.40 PM,Project-1
64,2,Thursday,1,10.00 AM,11.00 AM,EE LAB (BATCH-1)/CAD STUDIO LAB (BATCH-2)
